scene_id,scene_path,category,overlay_owner,node_count,resource_count,sha256,currentVisualAcceptance,nextEvidence,currentScreenCandidates,sourceSemanticsAcceptance,reviewDetails
11,battle_menu_net/net_friend_list.nxr,Network Battle UI,OVL9/OVL10,5,0,5fb0815c88a537a521ed3381a35871f7350b1d03879ad6def236aed387473319,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,UNIMPLEMENTED_NETWORK_PATH,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
12,battle_menu_net/net_friend_menu.nxr,Network Battle UI,OVL9/OVL10,5,1,7125ceba3624363d63cf80937a6be3bea2f7287c964d834be11bf666f2ef2791,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,UNIMPLEMENTED_NETWORK_PATH,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
13,battle_menu_net/net_sub_desc.nxr,Network Battle UI,OVL9/OVL10,2,0,c97b948e0faffd2aa1dbb9d312810a12d5a2cf620be964f7a027452fc5187ce6,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,UNIMPLEMENTED_NETWORK_PATH,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
14,battle_menu_net/wifi_strength_level_icon.nxr,Network Battle UI,OVL9/OVL10,3,1,3bf9bda901f1794b3e45080a536977d9df327cf033261308d72da4e1f9313256,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,UNIMPLEMENTED_NETWORK_PATH,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
15,battle_result/battle_result_log_scene.nxr,Battle Result,OVL8,1,0,c4da1120b1f471a716ca6e650756a543cfd0c637f569187aa8728cf25684c3d2,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
16,battle_result/result_sub_base.nxr,Battle Result,OVL8,10,1,df41eaec27ec5fdb299aac4e9fec2c82a76b2d24e2aae59424f7d46ecf35b038,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
17,battle_result/result_sub_net_scene.nxr,Battle Result,OVL8,33,1,be7807bb399971fbf4a1ab1543d0bb3cb4f0df706ee9f4fadeedbe1fa8eef955,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
18,battle_result/result_sub_prize_scene.nxr,Battle Result,OVL8,32,1,c271e65839249f16020d9e92d6ee5f64ea9d3a988dd0ee9c57b4cf635849af86,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
19,battle_result/result_sub_rankup_scene.nxr,Battle Result,OVL8,12,1,c9cf69f1a8707154f22157dda0a423de30c156272dc238cac90ceb2255ec9a66,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
20,battle_result/result_sub_scene.nxr,Battle Result,OVL8,4,1,255b85880821f83976a191fcf917e2c7ecb96046d4ba7ac1dd0ff768cee46f3b,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
21,battle_result/result_sub_status_scene.nxr,Battle Result,OVL8,32,1,1683eb296ae6f0a300174fe4d58a730e8dc55f4e58585a50198af3820741e393,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
22,battle_result/result_sub_titleget.nxr,Battle Result,OVL8,39,1,0d40e38036bb8196be2ab697bf9b6d2eaa0dea376b6c94649c77517c56abade1,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
23,database/database_obj_main_scene.nxr,Database / Encyclopedia,OVL16,5,2,1378ec73e5cd5a8b4a60675cafb408a30f2c932b405d782b2b37f331f4e93b84,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
24,database/db_digimon_menu_item_scene.nxr,Database / Encyclopedia,OVL16,1,0,4e3f4f20d5ea2c11ca9ae2e31e2d4505eff9a0ba4c4c31e55d219993114caa0a,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
25,database/guid_main_scene.nxr,Database / Encyclopedia,OVL16,33,1,30443722d65c872d99c21ff453e6681522ad16cfe14fe7e7f35bb6a2c6126850,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
26,database/guid_sub_base_scene.nxr,Database / Encyclopedia,OVL16,4,1,f60ec8a0ea809d48c5015cc584feb18224869783d75aed8b2b06054e7c81dca8,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
27,database/guid_sub_evo_scene.nxr,Database / Encyclopedia,OVL16,2,0,93b55e893a4fa67ee7fd4824cb1960784c404f0a5d4abcab9c38cb3eb5a3e3db,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
28,database/guid_sub_profile_scene.nxr,Database / Encyclopedia,OVL16,7,1,c5a62205b227b38961216899d418cc60b5970af56447f3c10846d9d2c7496cfb,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
29,database/guid_sub_sp_scene.nxr,Database / Encyclopedia,OVL16,16,1,ae97ea9df80f8656478437ccc06d311329dc120b099ab6186e4d389a18ae98d9,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
30,database/guid_sub_status_scene.nxr,Database / Encyclopedia,OVL16,5,1,bef1838c6dbc06c36147c2779cd0c97559622943ec3c1fa213d2511832251b73,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
31,database/prize_sub_scene.nxr,Database / Encyclopedia,OVL16,4,0,8697d564ef8e1b13599e3b2d729489b3f21d82ac9a5d9d2f11185102ea222549,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DATABASE; DIGIMON_LIST,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
32,help/help_main_scene.nxr,Help,OVL5,42,1,45b44485ced6fe2b4f63f6ac3cb1083779d6cc2d8361ec008887e8275414b124,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HELP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
33,help/help_sub_scene.nxr,Help,OVL5,2,0,06d92d2324463c7d740e5e2c04af139da576daa468112d2039ded1cd7982a5ff,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HELP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
34,shop/shop_buy_plate_scene.nxr,Shop,OVL17,44,1,0630c721e8217c6aa020c2e971d52bc57579ff3830ce13f6fbcbee43c00ba145,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHOP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
35,shop/shop_item_plate_scene.nxr,Shop,OVL17,17,2,8aebcb7858d6b79a7b664172e4090c0563d3cdee483374a484292f3a4d7aa5b8,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHOP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
36,shop/shop_main_bunner_scene.nxr,Shop,OVL17,10,2,dba688262a815cf55a4f4cf1d558c3007d90d59684c085c495c1e7d93c5d3031,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHOP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
37,shop/shop_main_menu_scene.nxr,Shop,OVL17,4,1,0956a5b3ee7374cd7dfdcfa35a85e66566475eb0b5b89e1943216e768c7a0d88,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHOP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
38,shop/shop_main_scene.nxr,Shop,OVL17,16,2,43970e51c975c44c9fa9d39e34ca01e9068299e7ddf1f7ce7f4cbac71c4cedf5,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHOP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
39,shop/shop_sub_scene.nxr,Shop,OVL17,24,1,8584b46e6753ebbfaa7a6879684122abd58cfa5e7298f9c363720ac9b73c71fa,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHOP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
40,tamer_info/tamer_info_main_scene.nxr,Tamer Info / Profile,OVL4,21,1,038caab4d8456bf7130d924b6991739372c0710127f8f485f7525b47e3daf101,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TAMER_INFO,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
41,tamer_info/tamer_info_sub_scene.nxr,Tamer Info / Profile,OVL4,23,1,865475b829983fc94680306a43fbcc4cecbc803d230fa92f6e4a0bd709debc8c,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TAMER_INFO,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
42,title_menu/name_entry_scene.nxr,Title / Login / Opening,OVL13,5,1,3ffa92b1d81d37dc96d857805e283b21eff6efca1e1b5ed78d8bfe11f1146d83,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
43,title_menu/opening_parts1_main.nxr,Title / Login / Opening,OVL13,4,2,32dcced1b7cb1e4bbe5796b7ea218c49bb55c2ce2ade469d85589999fc3fee2a,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
44,title_menu/opening_parts2_main.nxr,Title / Login / Opening,OVL13,2,2,f8ae7fd43d8dd738da01a839ae9e3f6ecfd0ea89323faf6c0586c05c9def07fa,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
45,title_menu/opening_parts3_main.nxr,Title / Login / Opening,OVL13,2,2,64d5b9aae85d6e58d797ed965cbf6b5fe9545d58fb06e08c3455bb312a3c380d,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
46,title_menu/opening_parts4_main.nxr,Title / Login / Opening,OVL13,1,1,450837e69067a2ba5deaedbfd98d85e2126d3ed94ab49ce2851531deca395b9e,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
47,title_menu/pass_entry_scene.nxr,Title / Login / Opening,OVL13,4,1,c9c2933ed2ada9837e6b2806577040f71eefa137ddb6bf6ec5312377976f0228,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
48,title_menu/title_confirm_base_scene.nxr,Title / Login / Opening,OVL13,13,1,fc4a06a76944c96f6cda7c52045c6ed22875acfd89adb6d498db8a48228a870f,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
49,title_menu/title_login_scene.nxr,Title / Login / Opening,OVL13,3,1,0040820aaa75e175b5fafeab82b0742dabe8addcfb112fe579883577218460cb,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
50,title_menu/title_menu_scene.nxr,Title / Login / Opening,OVL13,6,1,a34fba20cec8a3899de2165def7abea1e26cdb90bf8bd57644c5bd3e3a6c630a,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
51,title_menu/title_welcome_scene.nxr,Title / Login / Opening,OVL13,1,1,f3588fe426e4c2befa4e986d606776766e5b1e4eaee54d669aeb42273f9de741,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,TITLE; OPENING; TUTORIAL,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
52,today_window/calendar_main_scene.nxr,Today / Calendar,OVL1,48,1,36fa89cdaf3b17245f2603c316b2a98f24499b7f90b245a3101cbabe65c0054e,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DAY_END; MORNING_NOTICES,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
53,today_window/today_window_ext_scene.nxr,Today / Calendar,OVL1,11,1,3de6af8568c5448cd338f85313052a3b78ba2a07b1fd4b1a1bef26fc0552b293,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DAY_END; MORNING_NOTICES,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
54,today_window/today_window_normal_scene.nxr,Today / Calendar,OVL1,4,1,14bfa56605fc8ef17190f21e39c6def00c7651ef48402ed6f38ee92ec31ab16a,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,DAY_END; MORNING_NOTICES,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
55,training/cage_edit_obj_main.nxr,Training / Home / Schedule,OVL18,3,1,bdb88c5d4cc5d8e8b0b408e4daa86d432e7c4bfa57b387f89f478c96d57e6f50,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,RAISING_HOME; CAGE_EDIT; SCHEDULE,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
56,training/cage_edit_obj_sub.nxr,Training / Home / Schedule,OVL18,8,1,62410a117a96a676d04fe363983c5d095c28011e988dff0382b9f4c2fb441a64,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,RAISING_HOME; CAGE_EDIT; SCHEDULE,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
57,training/mail_win_scene.nxr,Training / Home / Schedule,OVL18,15,1,db9a85ed7d0335a9977a3339fe3d00abc242df88382db0acd87cc9327b983a56,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,RAISING_HOME; CAGE_EDIT; SCHEDULE,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
58,training/schedule_item.nxr,Training / Home / Schedule,OVL18,25,1,2fc956dd112834dfe295951dedb1072d4fbb388e272757876fbf0e005620d297,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,RAISING_HOME; CAGE_EDIT; SCHEDULE,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
59,training/schedule_season_bar_scene.nxr,Training / Home / Schedule,OVL18,10,1,331449fa94ffea3a226a611ef7125073de297c10bb8b1171a8567524818097bf,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,RAISING_HOME; CAGE_EDIT; SCHEDULE,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
60,training/team_list_plate_scene.nxr,Training / Home / Schedule,OVL18,20,1,f24c555092f610146961ea7a5ef47d2d19a57af244eceb4bf6ce443762e978c1,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,RAISING_HOME; CAGE_EDIT; SCHEDULE,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
61,training/training_sub_scene.nxr,Training / Home / Schedule,OVL18,75,1,76e0eeeabf34db7bba90299eff8b1085a7b4dca4c5b174a5db8666f5fc8fa38d,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,RAISING_HOME; CAGE_EDIT; SCHEDULE,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
62,ui/alert_window.nxr,Shared UI Components,Shared,15,1,ce0785911913a91c28e7d67627fcc81ff16dca29cd46eccb9b92d1a2bfac83f7,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
63,ui/alert_window_l.nxr,Shared UI Components,Shared,15,1,382c56296ebd1e1ee0a46ad10ea8422b8087320eb63e2c58bdf4a2a4b690fcc2,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
64,ui/alert_window_m.nxr,Shared UI Components,Shared,15,1,b978b0b2f0bb19f43b72c724967fc52d151fcd948e6e4c3240b15cc28e6387d1,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
65,ui/button_bar.nxr,Shared UI Components,Shared,11,1,4aec2fa77ec2eae15ed02d4e64d2061a3b76a1c6e62a9223aa1da31f15aeabdf,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
66,ui/button_scene.nxr,Shared UI Components,Shared,5,2,c1ac6c65bfdc29fd560d089a660600ca8c4fa1022a6cb154d4702ded4543d9c0,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
67,ui/conference_list_item.nxr,Shared UI Components,Shared,3,1,f59af9d12a78e19aa78bd71b99aa0accc4c03bb60316e55a903d5db58087231f,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
68,ui/digimon_list_item.nxr,Shared UI Components,Shared,7,1,b7f9dc6a3d4e75e96556f6949cfa4831278d72ac53bc417d5acdc75315ace486,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
69,ui/digimon_list_main.nxr,Shared UI Components,Shared,21,1,36371d2dbbe84e239bf37627d556a80d0b270562c84b17f9c245c962c53a8172,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
70,ui/digimon_list_sub.nxr,Shared UI Components,Shared,19,1,9f0cbb07e4d11700ff42dd23efca8e3b411061a4e0d5d816850c24a0cc887cd1,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
71,ui/equip_setting_item_scene.nxr,Shared UI Components,Shared,3,0,87b6e1121c4ae92802591a8356a9d67e3ca90ca4b8bb3e21944541c0c1655230,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
72,ui/hunt/hunting/hunt_shutter_scene.nxr,Hunt HUD,OVL0,14,1,6d4f3e78fce84e594c2240fe6266daebdddb37f2588f70fd9ca7e32f2e59d942,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_FIELD,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
73,ui/hunt/hunting/hunt_sub_scene.nxr,Hunt HUD,OVL0,72,1,c89bf24e9fe6c054e161091e20e32f0716b3a8d1c106b69c46f787f525664524,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_FIELD,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
74,ui/hunt/hunting/memorycard_plate_scene.nxr,Hunt HUD,OVL0,9,1,2a7f0c2934de5d9cbeb826a14dfa0f5f178a8f8d49c7db713cdb486d960c6181,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_FIELD,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
75,ui/hunt/result/hunt_result_main_scene.nxr,Hunt Result,OVL4,12,1,dd4ec97dae1d0242bb53d7a96429b057684e4ac5f91bdfaf00132766148b146f,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
76,ui/hunt/result/name_edit.nxr,Hunt Result,OVL4,4,1,2b026d9777cbebf16dac27360296d613d0d96178f80aa1da1f03c9ff2a83daa7,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_RESULT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
77,ui/hunt/setting/equip_plate.nxr,Hunt Loadout / Equipment,OVL12,8,2,b92df10b12370ccec34c9dcbf640ce5913cc5d15c42320c96eb984ddedb5d0c2,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
78,ui/hunt/setting/launcher_plate.nxr,Hunt Loadout / Equipment,OVL12,2,1,f2f570e31d57bb62b079824ac00d6a6637e5b16926b3e4b54e418ba908065f8e,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
79,ui/hunt/setting/menu_top_gear_scene.nxr,Hunt Loadout / Equipment,OVL12,9,1,ba06fd693a5aebb5977bce3292ccf86827184c393fd6a990d67045522955d67b,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
