definition,name,moduleId,shopRecordIndex,image,channels,capacity,nativeProgramCount,nativeCommands,nativeEntryReaction,trainingWriter,trainingTextVfx,recoveryVfx,metadataConflict,individualBrowserEffectAcceptance
14,工廠,championship:2026:cage:14,100,assets/production/cage/licensed-runtime-v1/fields/field_cm15_01/frame-00.png,"[{""id"": ""FAMILY_MACHINE"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -220]]",6,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
15,小保健室,championship:2026:cage:15,112,assets/production/cage/licensed-runtime-v1/fields/field_cm16_01/frame-00.png,"[{""id"": ""RECOVER_HP_STRESS"", ""mode"": ""RECOVER""}]",2,3,"[[6, 2, 1, 8], [6, 6, 2, -1]]",-1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,HP_INCREASE_TRIGGER_BOUND,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
16,醫院,championship:2026:cage:16,110,assets/production/cage/licensed-runtime-v1/fields/field_cm17_01/frame-00.png,"[{""id"": ""FAMILY_VACCINE"", ""mode"": ""UP""}]",6,3,"[[1, -100], [2, 10]]",27,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
17,花園,championship:2026:cage:17,102,assets/production/cage/licensed-runtime-v1/fields/field_cm18_01/frame-00.png,"[{""id"": ""FAMILY_HOLY"", ""mode"": ""UP""}]",4,3,"[[0, -1], [1, -180]]",9,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
18,溫泉,championship:2026:cage:18,114,assets/production/cage/licensed-runtime-v1/fields/field_cm19_01/frame-00.png,"[{""id"": ""RECOVER_HP_STRESS"", ""mode"": ""RECOVER""}]",8,3,"[[6, 2, 1, 20], [6, 3, 2, -1], [6, 120, 3, 1]]",9,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,HP_INCREASE_TRIGGER_BOUND,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
19,沙漠,championship:2026:cage:19,104,assets/production/cage/licensed-runtime-v1/fields/field_cm20_01/frame-00.png,"[{""id"": ""RESIST_HEAT"", ""mode"": ""UP""}]",6,3,"[[1, -120], [5, 2]]",1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
20,冰原,championship:2026:cage:20,105,assets/production/cage/licensed-runtime-v1/fields/field_cm21_01/frame-00.png,"[{""id"": ""RESIST_COLD"", ""mode"": ""UP""}]",8,3,"[[1, -200], [5, 2]]",10,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
21,發電廠,championship:2026:cage:21,106,assets/production/cage/licensed-runtime-v1/fields/field_cm22_01/frame-00.png,"[{""id"": ""RESIST_THUNDER"", ""mode"": ""UP""}]",6,3,"[[1, -200], [5, 2]]",11,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
22,毒氣室,championship:2026:cage:22,111,assets/production/cage/licensed-runtime-v1/fields/field_cm23_01/frame-00.png,"[{""id"": ""FAMILY_VIRUS"", ""mode"": ""UP""}]",4,3,"[[1, -250], [2, 10]]",8,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
23,寺廟,championship:2026:cage:23,90,assets/production/cage/licensed-runtime-v1/fields/field_cm24_01/frame-00.png,"[{""id"": ""WISDOM"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -120], [5, 2]]",3,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
24,動物園,championship:2026:cage:24,115,assets/production/cage/licensed-runtime-v1/fields/field_cm25_01/frame-00.png,"[{""id"": ""AUTO_CARE"", ""mode"": ""AUTO_CARE""}]",2,3,"[[6, 3, 1, 5], [6, 240, 2, 1]]",-1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
25,牧場,championship:2026:cage:25,116,assets/production/cage/licensed-runtime-v1/fields/field_cm26_01/frame-00.png,"[{""id"": ""AUTO_CARE"", ""mode"": ""AUTO_CARE""}]",8,3,"[[6, 3, 1, 10], [6, 6, 2, -1]]",-1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
26,擂台,championship:2026:cage:26,117,assets/production/cage/licensed-runtime-v1/fields/field_cm27_01/frame-00.png,"[{""id"": ""BATTLE_COUNT"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -300], [4, 1], [5, 4]]",0,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
27,小運動場,championship:2026:cage:27,84,assets/production/cage/licensed-runtime-v1/fields/field_cm30_01/frame-00.png,"[{""id"": ""HP"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -120], [5, 2]]",25,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
28,保健室,championship:2026:cage:28,113,assets/production/cage/licensed-runtime-v1/fields/field_cm31_01/frame-00.png,"[{""id"": ""RECOVER_HP_STRESS"", ""mode"": ""RECOVER""}]",6,3,"[[6, 2, 1, 12], [6, 6, 2, -1]]",-1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,HP_INCREASE_TRIGGER_BOUND,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
29,小花園,championship:2026:cage:29,101,assets/production/cage/licensed-runtime-v1/fields/field_cm32_01/frame-00.png,"[{""id"": ""FAMILY_HOLY"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -80]]",9,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
30,小健身房,championship:2026:cage:30,88,assets/production/cage/licensed-runtime-v1/fields/field_cm34_01/frame-00.png,"[{""id"": ""ATTACK"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -120], [5, 2]]",0,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
31,小火山,championship:2026:cage:31,92,assets/production/cage/licensed-runtime-v1/fields/field_cm35_01/frame-00.png,"[{""id"": ""FAMILY_DRAGON"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -120], [5, 1]]",4,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
32,小高山,championship:2026:cage:32,96,assets/production/cage/licensed-runtime-v1/fields/field_cm37_01/frame-00.png,"[{""id"": ""FAMILY_BIRD"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -120]]",5,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
33,小海灘,championship:2026:cage:33,94,assets/production/cage/licensed-runtime-v1/fields/field_cm39_01/frame-00.png,"[{""id"": ""FAMILY_WATER"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -120]]",27,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
34,洞窟,championship:2026:cage:34,108,assets/production/cage/licensed-runtime-v1/fields/field_cm40_01/frame-00.png,"[{""id"": ""RESIST_DARK"", ""mode"": ""UP""}]",2,3,"[[1, -120], [5, 2]]",0,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
35,等候室,championship:2026:cage:waiting-room,,assets/production/cage/licensed-runtime-v1/fields/field_cm28_01/frame-00.png,[],,3,[],-1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
