speciesIndex,entityId,kind,mainSequences,mainFrameReferences,reactionCasesExercisedByFocusedTest,reactionScope,normalAllBehaviors,visualAllBehaviors,device
40,m208_gabumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
41,m209_kamemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
42,m210_gizamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
43,m211_candmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
44,m214_kunemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
45,m217_gottumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
46,m218_goburimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
47,m219_gomamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
48,m221_terriermon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
49,m222_tentomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
50,m223_toyagumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
51,m225_bakumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
52,m226_hagurumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
53,m227_patamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
54,m228_palmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
55,m229_picodevimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
56,m230_piyomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
57,m231_falcomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
58,m232_plotmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
59,m233_floramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
60,m235_mushmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
61,m236_yukiagumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
62,m237_renamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
63,m224_dracomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
64,m238_coronamon,REGULAR,40,73,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
65,m239_lunamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
66,m240_kuroagumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
67,m241_psychemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
68,m242_alraumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
69,m243_tsukaimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
70,m244_vmon,REGULAR,40,77,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
71,m255_guilmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
72,m301_ankylomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
73,m303_ikkakumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
74,m304_wizarmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
75,m305_woodmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
76,m306_airdramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
77,m308_angemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
78,m310_orgemon,REGULAR,40,66,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
79,m311_gaogamon,REGULAR,40,67,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
80,m312_kabuterimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
81,m313_gargomon,REGULAR,40,70,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
82,m314_garurumon_va,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
83,m315_garurumon_vi,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
84,m316_guardromon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
85,m317_kiwimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
86,m318_kyubimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
87,m320_graymon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
88,m321_clockmon,REGULAR,40,73,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
89,m322_kuwagamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
90,m323_gekomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
91,m324_gesomon,REGULAR,40,69,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
92,m325_centalmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
93,m326_cockatrimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
94,m328_thanderballmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
95,m329_shellmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
96,m330_geograymon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
97,m331_seadramon,REGULAR,40,70,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
98,m333_scumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
99,m334_starmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
100,m337_darcmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
101,m338_darktyranomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
102,m339_tyranomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
103,m340_tailmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
104,m341_devidramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
105,m342_devimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
106,m343_togemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
107,m345_tortamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
108,m346_numemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
109,m347_bakemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
110,m349_bardramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
111,m351_vagimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
112,m352_peckmon,REGULAR,40,83,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
113,m353_meramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
114,m354_mojyamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
115,m355_monochromon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
116,m356_yukidarumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
117,m357_unimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
118,m358_youkomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
119,m359_rynxmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
120,m362_raremon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
121,m363_leomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
122,m364_redvagimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
123,m366_coredramon_ten,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
124,m367_coredramon_ti,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
125,m368_firamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
126,m369_lekismon,REGULAR,40,66,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
127,m370_icedevimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
128,m371_grurumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
129,m372_geremon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
130,m374_sorcerimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
131,m375_akatorimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
132,m376_saverdramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
133,m377_icemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
134,m378_vdramon,REGULAR,40,69,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
135,m379_growmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
136,m401_atlurkabuterimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
137,m402_anomalocarimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
138,m403_andromon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
139,m404_etemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
140,m405_angewomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
141,m406_oukuwamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
142,m407_gurudamon,REGULAR,40,67,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
143,m408_gerbemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
144,m410_cyberdramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
145,m412_jyureimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
146,m413_skullgreymon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
147,m414_zudomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
148,m415_dagomon,REGULAR,40,71,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
149,m416_deathmeramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
150,m417_delumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
151,m418_tonosamagekomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
152,m419_toriceramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
153,m420_knightmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
154,m422_parrotmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
155,m423_hangyomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
156,m424_pandamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
157,m426_bigmamemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
158,m427_picklemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
159,m428_fantomon,REGULAR,40,69,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
160,m430_vademon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
161,m431_whamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
162,m432_holyangemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
163,m433_machgaogamon,REGULAR,40,76,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
164,m435_mamemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
165,m437_mammon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
166,m438_megaseadramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
167,m439_megadramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
168,m440_metalgreymon_vi,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
169,m441_metalgreymon_va,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
170,m442_metaltyranomon,REGULAR,40,66,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
171,m444_monzaemon,REGULAR,40,69,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
172,m445_yatagaramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
173,m446_rizegreymon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
174,m447_rapidmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
175,m448_lilimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
176,m449_ladydevimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
177,m450_warumonzaemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
178,m451_weregarurumon_va,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
179,m452_weregarurumon_vi,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
180,m453_wingdramon,REGULAR,40,67,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
181,m454_grondramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
182,m455_flaremon,REGULAR,40,78,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
183,m456_crescemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
184,m457_superstarmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
185,m458_blackrapidmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
186,m373_bluemeramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
187,m501_vikemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
