"ordinal","field_id","name_en","name_jp","dimensions","layout_cells","topology_class","core_field_layer","object_layer","object_placement_count","object_cell_count","atr_layer","col_layer","original_composition_confidence","production_batch","blocker","rights","runtime_status"
"17","field_cm17_01","Hospital","びょういん","24x25","600","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","6","6","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"18","field_cm18_01","Flower Garden","はなぞの","18x25","450","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AFTER_OWNER_DESIGN_NO_ORIGINAL_INDEX_GUESS","16","8","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","CORE_FIELD_RECOVERED_OBJECT_LAYER_CONFLICT","CM11_CM20","ORIGINAL_OBJECT_INDEX_CONFLICT_DO_NOT_INFER","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"19","field_cm19_01","Hot Spring","おんせん","48x14","672","WIDE","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","20","14","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"20","field_cm20_01","Desert","さばく","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","0","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"21","field_cm21_01","Ice","こおり","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","0","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"22","field_cm22_01","Power Plant","はつでんしょ","24x25","600","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","12","9","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"23","field_cm23_01","Gas Room","ガスルーム","18x25","450","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","6","12","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"24","field_cm24_01","Temple","おてら","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","5","6","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"25","field_cm25_01","Zoo","どうぶつえん","24x14","336","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","13","19","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"26","field_cm26_01","Ranch","ぼくじょう","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","11","6","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"27","field_cm27_01","Ring","リング","24x25","600","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","12","7","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"28","field_cm28_01","Waiting Room","ひかえしつ","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","NO_NATIVE_OBJECT_LAYER","0","0","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"29","field_cm29_01","Lid","ふた","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","NO_NATIVE_OBJECT_LAYER","0","0","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"30","field_cm30_01","Mini Exercise","ミニうんどうじょう","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","1","5","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM21_CM30","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"31","field_cm31_01","Clinic","ほけんしつ","24x14","336","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","3","8","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"32","field_cm32_01","Mini Flower Garden","ミニはなぞの","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","7","4","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"33","field_cm33_01","Mini Forest","ミニもり","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","1","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"34","field_cm34_01","Mini Gym","ミニジム","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","3","4","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"35","field_cm35_01","Mini Volcano","ミニかざん","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","0","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"36","field_cm36_01","Mini Ice","ミニこおり","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","0","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"37","field_cm37_01","Mini Mine","ミニこうざん","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","0","5","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"38","field_cm38_01","Mini Factory","ミニこうじょう","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","10","16","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"39","field_cm39_01","Mini Beach","ミニビーチ","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","1","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"40","field_cm40_01","Cave","どうくつ","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","0","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM31_CM40","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
