assetId,domain,assetKind,logicalGroup,source,sourcePath,sourceType,originalFunction,originalRenderer,modernRenderer,productionStatus,shippingStatus,evidenceStatus,rightsStatus,replacementRequired,replacementComplete,humanApproved,runtimeQaPassed,dimensions,format,runtimeConsumer,visualQaStatus,generation,disposition,replacementAssetId,dependencies,blockers,notes
art:ui:background-battle-result-desktop-under:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_result/desktop_under.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_result__desktop_under.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_RESULT_DESKTOP_UNDER_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-result-result-bg-main:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_result/result_bg_main.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_result__result_bg_main.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_RESULT_RESULT_BG_MAIN_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 512x256 reference; research-only source pixels.
art:ui:background-battle-result-result-bg-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_result/result_bg_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_result__result_bg_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_RESULT_RESULT_BG_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 512x512 reference; research-only source pixels.
art:ui:background-battle-result-result-lose-palette:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_result/result_lose_palette.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_result__result_lose_palette.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_RESULT_RESULT_LOSE_PALETTE_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-result-result-win-palette:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_result/result_win_palette.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_result__result_win_palette.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_RESULT_RESULT_WIN_PALETTE_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-cage-edit-desktop-top:rom-reference,UI,UI_BACKGROUND_REFERENCE,cage_edit/desktop_top.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\cage_edit__desktop_top.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_CAGE_EDIT_DESKTOP_TOP_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-cage-edit-desktop-under:rom-reference,UI,UI_BACKGROUND_REFERENCE,cage_edit/desktop_under.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\cage_edit__desktop_under.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_CAGE_EDIT_DESKTOP_UNDER_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-bg-database-main:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/bg_database_main.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__bg_database_main.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_BG_DATABASE_MAIN_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-bg-database-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/bg_database_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__bg_database_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_BG_DATABASE_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-database-bg-main:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/database_bg_main.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__database_bg_main.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_DATABASE_BG_MAIN_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-database-bg-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/database_bg_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__database_bg_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_DATABASE_BG_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-database-top-bg-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/database_top_bg_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__database_top_bg_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_DATABASE_TOP_BG_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-prize-bg-main:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/prize_bg_main.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__prize_bg_main.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_PRIZE_BG_MAIN_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-prize-bg-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/prize_bg_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__prize_bg_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_PRIZE_BG_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-zukan-bg-main:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/zukan_bg_main.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__zukan_bg_main.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_ZUKAN_BG_MAIN_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-database-zukan-bg1-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,database/zukan_bg1_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\database__zukan_bg1_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DATABASE_ZUKAN_BG1_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-desktop-bg-desktop-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,desktop/bg_desktop_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\desktop__bg_desktop_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DESKTOP_BG_DESKTOP_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-desktop-bg-desktop:rom-reference,UI,UI_BACKGROUND_REFERENCE,desktop/bg_desktop.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\desktop__bg_desktop.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_DESKTOP_BG_DESKTOP_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-ending-desktop-top:rom-reference,UI,UI_BACKGROUND_REFERENCE,ending/desktop_top.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\ending__desktop_top.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_ENDING_DESKTOP_TOP_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-ending-desktop-under:rom-reference,UI,UI_BACKGROUND_REFERENCE,ending/desktop_under.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\ending__desktop_under.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_ENDING_DESKTOP_UNDER_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-gate-select-bg-earth-sub-bg2:rom-reference,UI,UI_BACKGROUND_REFERENCE,gate_select/bg_earth_sub_bg2.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\gate_select__bg_earth_sub_bg2.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_GATE_SELECT_BG_EARTH_SUB_BG2_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-gate-select-bg-earth-sub-bg3:rom-reference,UI,UI_BACKGROUND_REFERENCE,gate_select/bg_earth_sub_bg3.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\gate_select__bg_earth_sub_bg3.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_GATE_SELECT_BG_EARTH_SUB_BG3_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-gate-select-bg-earth:rom-reference,UI,UI_BACKGROUND_REFERENCE,gate_select/bg_earth.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\gate_select__bg_earth.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_GATE_SELECT_BG_EARTH_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
