path,relativePath,bytes,scope
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/sub-atlas-00.json,8513,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\runtime.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/runtime.json,30952,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/manifest.json,71766,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\main-atlas-01.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/main-atlas-01.png,8945,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\main-atlas-01.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/main-atlas-01.json,2099,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\main-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/main-atlas-00.png,148765,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\main-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/main-atlas-00.json,27420,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\cell-000-main-hd4x.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/cell-000-main-hd4x.png,3505,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m540_imperialdramon_fm\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m540_imperialdramon_fm/sub-atlas-00.png,42083,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m540_imperialdramon_fm\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m540_imperialdramon_fm/sub-atlas-00.json,8691,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m540_imperialdramon_fm\runtime.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m540_imperialdramon_fm/runtime.json,31688,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m540_imperialdramon_fm\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m540_imperialdramon_fm/manifest.json,72213,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m540_imperialdramon_fm\main-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m540_imperialdramon_fm/main-atlas-00.png,152671,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m540_imperialdramon_fm\main-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m540_imperialdramon_fm/main-atlas-00.json,29891,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m540_imperialdramon_fm\cell-000-main-hd4x.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m540_imperialdramon_fm/cell-000-main-hd4x.png,3489,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/sub-atlas-00.png,33340,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/sub-atlas-00.json,8528,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\runtime.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/runtime.json,31409,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/manifest.json,70979,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\main-atlas-01.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/main-atlas-01.png,7200,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\main-atlas-01.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/main-atlas-01.json,2099,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\main-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/main-atlas-00.png,105235,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\main-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/main-atlas-00.json,27018,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m539_dianamon\cell-000-main-hd4x.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m539_dianamon/cell-000-main-hd4x.png,2812,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\world_number_scene\scene-structure.json,08_FULL_FAMILY_CONVERSION/ui/world_number_scene/scene-structure.json,11713,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\world_number_scene\scene-layout-diagram.png,08_FULL_FAMILY_CONVERSION/ui/world_number_scene/scene-layout-diagram.png,9641,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\world_number_scene\family.json,08_FULL_FAMILY_CONVERSION/ui/world_number_scene/family.json,432,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m538_apollomon\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m538_apollomon/sub-atlas-00.png,34680,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m538_apollomon\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m538_apollomon/sub-atlas-00.json,8537,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m538_apollomon\runtime.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m538_apollomon/runtime.json,31015,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m538_apollomon\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m538_apollomon/manifest.json,71328,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m538_apollomon\main-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m538_apollomon/main-atlas-00.png,84000,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m538_apollomon\main-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m538_apollomon/main-atlas-00.json,29257,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m538_apollomon\cell-000-main-hd4x.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m538_apollomon/cell-000-main-hd4x.png,2836,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg2\tilemap.json,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg2/tilemap.json,147404,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg2\palette.png,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg2/palette.png,3155,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg2\graphics-tile-sheet.png,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg2/graphics-tile-sheet.png,28356,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg2\family.json,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg2/family.json,1047,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg2\background-composite.png,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg2/background-composite.png,28226,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m536_brakedramon\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m536_brakedramon/sub-atlas-00.png,38814,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m536_brakedramon\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m536_brakedramon/sub-atlas-00.json,8583,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m536_brakedramon\runtime.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m536_brakedramon/runtime.json,31563,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m536_brakedramon\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m536_brakedramon/manifest.json,75194,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m536_brakedramon\main-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m536_brakedramon/main-atlas-00.png,142874,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m536_brakedramon\main-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m536_brakedramon/main-atlas-00.json,31373,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m536_brakedramon\cell-000-main-hd4x.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m536_brakedramon/cell-000-main-hd4x.png,2776,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg1\tilemap.json,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg1/tilemap.json,145531,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg1\palette.png,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg1/palette.png,3155,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg1\graphics-tile-sheet.png,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg1/graphics-tile-sheet.png,13490,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg1\family.json,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg1/family.json,1047,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\08_FULL_FAMILY_CONVERSION\ui\winner_top_bg1\background-composite.png,08_FULL_FAMILY_CONVERSION/ui/winner_top_bg1/background-composite.png,14318,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/sub-atlas-00.png,40630,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/sub-atlas-00.json,8604,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\runtime.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/runtime.json,32124,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/manifest.json,74778,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\main-atlas-01.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/main-atlas-01.png,4728,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\main-atlas-01.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/main-atlas-01.json,1192,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\main-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/main-atlas-00.png,149355,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\main-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/main-atlas-00.json,30040,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m535_slayerdramon\cell-000-main-hd4x.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m535_slayerdramon/cell-000-main-hd4x.png,3519,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m534_victorygreymon\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m534_victorygreymon/sub-atlas-00.png,31110,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m534_victorygreymon\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m534_victorygreymon/sub-atlas-00.json,8648,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m534_victorygreymon\runtime.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m534_victorygreymon/runtime.json,31628,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m534_victorygreymon\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m534_victorygreymon/manifest.json,72889,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m534_victorygreymon\main-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m534_victorygreymon/main-atlas-00.png,120427,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m534_victorygreymon\main-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m534_victorygreymon/main-atlas-00.json,30203,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m534_victorygreymon\cell-000-main-hd4x.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m534_victorygreymon/cell-000-main-hd4x.png,2723,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m513_bantyoliomon\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m513_bantyoliomon/sub-atlas-00.png,33504,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m513_bantyoliomon\sub-atlas-00.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m513_bantyoliomon/sub-atlas-00.json,8592,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
