021229DC andeq    sb, ip, #0x2c400
02122BF4 bl       #0x2043e0c
02122BF8 mov      r0, sl
02122BFC bl       #0x2123f58
02122C00 pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02122C04 andeq    r7, r4, #80, #10
02122C08 andeq    r7, r4, #244, #8
02122C0C andseq   sl, r2, #240, #14
02122C10 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
02122C14 mov      sl, r0
02122C18 ldr      r0, [sl, #0x30]
02122C1C cmp      r0, #0
02122C20 popeq    {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02122C24 mov      r8, #0
02122C28 ldr      fp, [pc, #0x5c] ; literal=0x02047550
02122C2C mov      sb, r8
02122C30 mov      r6, #0xd4
02122C34 mov      r5, #8
02122C38 mov      r4, r8
02122C3C ldr      r7, [sl, #0x30]
02122C40 ldr      r0, [r7, sb]
02122C44 cmp      r0, #0
02122C48 beq      #0x2122c60
02122C4C mov      r1, r6
02122C50 mov      r2, r5
02122C54 mov      r3, fp
02122C58 bl       #0x202d70c
02122C5C str      r4, [r7, sb]
02122C60 add      r8, r8, #1
02122C64 cmp      r8, #2
02122C68 add      sb, sb, #0x24
02122C6C blt      #0x2122c3c
02122C70 ldr      r0, [sl, #0x30]
02122C74 cmp      r0, #0
02122C78 popeq    {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02122C7C bl       #0x2050610
02122C80 mov      r0, #0
02122C84 str      r0, [sl, #0x30]
02122C88 pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02122C8C andeq    r7, r4, #80, #10
02122C90 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
02122C94 mov      sl, r0
02122C98 bl       #0x2044114
02122C9C mov      r7, #0
02122CA0 ldr      r4, [pc, #0x110] ; literal=0x0212AC48
02122CA4 ldr      fp, [pc, #0x110] ; literal=0xFFC3F000
02122CA8 mov      sb, r7
02122CAC mov      r5, r7
02122CB0 ldr      r0, [sl, #0x30]
02122CB4 add      r8, r0, sb
02122CB8 ldr      r0, [r8, #4]
02122CBC cmp      r0, #0
02122CC0 beq      #0x2122da4
02122CC4 ldr      r2, [r8]
02122CC8 ldr      r0, [r4]
02122CCC ldr      r1, [r2, #0x28]
02122CD0 rsbs     r0, r0, r1, asr #12
02122CD4 bmi      #0x2122ce8
02122CD8 cmp      r0, #0x100
02122CDC lsllt    r0, r0, #0xc
02122CE0 sublt    r0, r0, #0x3c0000
02122CE4 strlt    r0, [r2, #0x34]
02122CE8 ldr      r2, [r8]
02122CEC ldr      r0, [r4]
02122CF0 ldr      r1, [r2, #0xfc]
02122CF4 rsbs     r0, r0, r1, asr #12
02122CF8 bmi      #0x2122d18
02122CFC cmp      r0, #0x100
02122D00 bge      #0x2122d18
02122D04 add      r0, fp, r0, lsl #12
02122D08 str      r0, [r2, #0x108]
02122D0C ldr      r1, [r8]
02122D10 ldr      r0, [r1, #0x108]
02122D14 str      r0, [r1, #0x2b0]
02122D18 ldr      r2, [r8]
02122D1C ldr      r0, [r4]
02122D20 ldr      r1, [r2, #0x1d0]
02122D24 rsbs     r0, r0, r1, asr #12
02122D28 bmi      #0x2122d3c
02122D2C cmp      r0, #0x100
02122D30 lsllt    r0, r0, #0xc
02122D34 sublt    r0, r0, #0x3c0000
02122D38 strlt    r0, [r2, #0x1dc]
02122D3C mov      r1, #0
02122D40 ldr      r0, [r8]
02122D44 mov      r2, r1
02122D48 bl       #0x211dc1c
02122D4C ldr      r1, [r8]
02122D50 mov      r6, r0
02122D54 add      r0, r1, #0x1a8
02122D58 mov      r1, #0
02122D5C mov      r2, r1
02122D60 bl       #0x211dc1c
02122D64 ldr      r1, [r8, #8]
02122D68 cmp      r1, #0
02122D6C beq      #0x2122da4
02122D70 cmp      r6, #0
02122D74 cmpeq    r0, #0
02122D78 beq      #0x2122da4
02122D7C ldr      r0, [r8]
02122D80 mov      r1, #0
02122D84 mov      r2, r1
02122D88 add      r0, r0, #0xd4
02122D8C bl       #0x211dc1c
02122D90 ldr      r0, [r8]
02122D94 mov      r1, r5
02122D98 add      r0, r0, #0x27c
02122D9C mov      r2, r5
02122DA0 bl       #0x211dc1c
02122DA4 add      r7, r7, #1
02122DA8 cmp      r7, #2
02122DAC add      sb, sb, #0x24
02122DB0 blt      #0x2122cb0
02122DB4 pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02122DB8 andseq   sl, r2, #72, #24
02122DBC .byte    0x00, 0xf0, 0xc3, 0xff
02122DC0 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
02122DC4 sub      sp, sp, #0x18
02122DC8 ldr      lr, [sp, #0x44]
02122DCC mov      r5, r1
02122DD0 ldr      r1, [sp, #0x4c]
02122DD4 str      r0, [sp]
02122DD8 sub      r0, lr, r5
02122DDC ldr      ip, [sp, #0x48]
02122DE0 ldr      sb, [sp, #0x50]
02122DE4 ldr      sl, [sp, #0x40]
02122DE8 mov      r4, r2
02122DEC str      r0, [sp, #8]
02122DF0 sub      r0, ip, r4
02122DF4 sub      r6, r1, lr
02122DF8 sub      r8, sl, r4
02122DFC str      r0, [sp, #4]
02122E00 sub      fp, sb, ip
02122E04 sub      r7, r3, r5
02122E08 mul      r2, r7, fp
02122E0C mul      r0, r8, r6
02122E10 subs     r0, r2, r0
02122E14 bne      #0x2122e6c
02122E18 sub      r2, ip, sl
02122E1C mul      r0, r2, r2
02122E20 sub      r4, lr, r3
02122E24 sub      r2, sb, sl
02122E28 mla      r3, r4, r4, r0
02122E2C mla      r0, r2, r2, r0
02122E30 cmp      r3, r0
02122E34 mov      r0, #0
02122E38 ble      #0x2122e54
02122E3C lsl      r2, lr, #0xc
02122E40 lsl      r1, ip, #0xc
02122E44 str      r2, [sp, #0xc]
02122E48 str      r1, [sp, #0x10]
02122E4C str      r0, [sp, #0x14]
02122E50 b        #0x2122fa8
02122E54 lsl      r2, r1, #0xc
02122E58 lsl      r1, sb, #0xc
02122E5C str      r2, [sp, #0xc]
02122E60 str      r1, [sp, #0x10]
02122E64 str      r0, [sp, #0x14]
02122E68 b        #0x2122fa8
02122E6C cmp      r0, #0
02122E70 lsl      r0, r0, #0xc
02122E74 ble      #0x2122e8c
02122E78 bl       #0x202ae3c
02122E7C mov      r1, r0
02122E80 mov      r0, #0x3f000000
02122E84 bl       #0x202a1f0
02122E88 b        #0x2122e98
02122E8C bl       #0x202ae3c
02122E90 mov      r1, #0x3f000000
02122E94 bl       #0x202b0b8
02122E98 bl       #0x202adc8
02122E9C ldr      r1, [sp, #8]
02122EA0 mul      r3, r1, fp
02122EA4 ldr      r1, [sp, #4]
02122EA8 mul      r2, r1, r6
02122EAC sub      r1, r3, r2
02122EB0 mov      r6, r0
02122EB4 cmp      r1, #0
02122EB8 lsl      r0, r1, #0xc
02122EBC ble      #0x2122ed4
02122EC0 bl       #0x202ae3c
02122EC4 mov      r1, r0
02122EC8 mov      r0, #0x3f000000
02122ECC bl       #0x202a1f0
02122ED0 b        #0x2122ee0
02122ED4 bl       #0x202ae3c
02122ED8 mov      r1, #0x3f000000
02122EDC bl       #0x202b0b8
02122EE0 bl       #0x202adc8
02122EE4 mov      r1, r6
02122EE8 bl       #0x2002738
02122EEC mov      sb, r0
02122EF0 cmp      r7, #0
02122EF4 lsl      r0, r7, #0xc
02122EF8 ble      #0x2122f10
02122EFC bl       #0x202ae3c
02122F00 mov      r1, r0
02122F04 mov      r0, #0x3f000000
02122F08 bl       #0x202a1f0
02122F0C b        #0x2122f1c
02122F10 bl       #0x202ae3c
02122F14 mov      r1, #0x3f000000
02122F18 bl       #0x202b0b8
02122F1C asr      r6, sb, #0x1f
02122F20 bl       #0x202adc8
02122F24 smull    r1, r0, sb, r0
02122F28 adds     r1, r1, #0x800
02122F2C adc      r0, r0, #0
02122F30 lsr      r1, r1, #0xc
02122F34 orr      r1, r1, r0, lsl #20
02122F38 cmp      r8, #0
02122F3C add      r5, r5, r1, asr #12
02122F40 lsl      r0, r8, #0xc
02122F44 ble      #0x2122f5c
02122F48 bl       #0x202ae3c
02122F4C mov      r1, r0
02122F50 mov      r0, #0x3f000000
02122F54 bl       #0x202a1f0
02122F58 b        #0x2122f68
02122F5C bl       #0x202ae3c
02122F60 mov      r1, #0x3f000000
02122F64 bl       #0x202b0b8
02122F68 bl       #0x202adc8
02122F6C umull    r2, r3, sb, r0
02122F70 asr      r1, r0, #0x1f
02122F74 mla      r3, sb, r1, r3
02122F78 adds     r7, r2, #0x800
02122F7C mla      r3, r6, r0, r3
02122F80 lsl      r2, r5, #0xc
02122F84 mov      r0, #0
02122F88 adc      r1, r3, #0
02122F8C lsr      r3, r7, #0xc
02122F90 orr      r3, r3, r1, lsl #20
02122F94 add      r1, r4, r3, asr #12
02122F98 lsl      r1, r1, #0xc
02122F9C str      r2, [sp, #0xc]
02122FA0 str      r1, [sp, #0x10]
02122FA4 str      r0, [sp, #0x14]
02122FA8 ldr      r3, [sp]
02122FAC add      r0, sp, #0xc
02122FB0 ldm      r0, {r0, r1, r2}
02122FB4 stm      r3, {r0, r1, r2}
02122FB8 add      sp, sp, #0x18
02122FBC pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02122FC0 push     {r3, lr}
02122FC4 ldr      r3, [pc, #0x24] ; literal=0x020FBA14
02122FC8 asr      r0, r1, #2
02122FCC ldr      ip, [r3]
02122FD0 asr      r3, r2, #2
02122FD4 add      r1, r1, r0, lsr #29
02122FD8 add      r2, r2, r3, lsr #29
02122FDC ldr      r0, [ip, #4]
02122FE0 asr      r1, r1, #3
02122FE4 asr      r2, r2, #3
02122FE8 bl       #0x207c930
02122FEC pop      {r3, pc}
02122FF0 andeq    fp, pc, #20, #20
02122FF4 push     {r4, r5, r6, r7, r8, sb, sl, fp, lr}
02122FF8 sub      sp, sp, #0x2c
02122FFC mov      sl, r0
02123000 ldr      r3, [sl, #0x30]
02123004 mov      r2, #0x24
02123008 mla      r4, r1, r2, r3
0212300C str      r1, [sp, #0x10]
02123010 mov      r1, r4
02123014 bl       #0x2123310
02123018 ldr      r0, [pc, #0x2ec] ; literal=0x020FBA14
0212301C ldr      r0, [r0]
02123020 bl       #0x20663b4
02123024 mov      r7, r0
02123028 mov      r8, #0
0212302C str      r8, [sp, #0x1c]
02123030 cmp      r7, #0
02123034 ble      #0x2123124
02123038 ldr      fp, [pc, #0x2cc] ; literal=0x020FBA14
0212303C mov      r5, r8
02123040 ldr      r0, [fp]
02123044 mov      r1, r8
02123048 bl       #0x20669b8
0212304C ldr      r1, [r0, #0x4f4]
02123050 cmp      r1, #0
02123054 bne      #0x2123118
02123058 bl       #0x210c2a0
0212305C mov      r6, r0
02123060 bl       #0x2047dcc
02123064 lsl      sb, r0, #0xc
02123068 mov      r0, r6
0212306C bl       #0x2047d98
02123070 ldr      r2, [r6, #0x24]
02123074 lsr      r1, r0, #1
02123078 ldr      r0, [r4, #0xc]
0212307C lsl      r3, r1, #0xc
02123080 add      r1, r2, sb, asr #1
02123084 cmp      r1, r0
02123088 ble      #0x2123118
0212308C ldr      r0, [r4, #0x10]
02123090 sub      r1, r2, sb, asr #1
02123094 cmp      r1, r0
02123098 bge      #0x2123118
0212309C ldr      r0, [r6, #0x28]
021230A0 ldr      r1, [r4, #0x14]
021230A4 cmp      r0, r1
021230A8 ble      #0x2123118
021230AC ldr      r1, [r4, #0x18]
021230B0 sub      r6, r0, r3
021230B4 cmp      r6, r1
021230B8 bge      #0x2123118
021230BC ldr      r1, [r4]
021230C0 asr      r6, r0, #0xc
021230C4 ldr      r0, [r1, #0x28]
021230C8 ldr      r1, [r1, #0x24]
021230CC sub      ip, r6, r0, asr #12
021230D0 mul      r0, ip, ip
021230D4 asr      r1, r1, #0xc
021230D8 rsb      r1, r1, r2, asr #12
021230DC mla      r0, r1, r1, r0
021230E0 cmp      r0, #0x64
021230E4 strlt    r5, [r4, #0x20]
021230E8 blt      #0x2123118
021230EC asr      ip, sb, #0xd
021230F0 add      sb, ip, r2, asr #12
021230F4 str      sb, [sp]
021230F8 add      sb, r6, #8
021230FC mov      r0, sl
02123100 mov      r1, r4
02123104 rsb      r2, ip, r2, asr #12
02123108 sub      r3, r6, r3, asr #12
0212310C str      sb, [sp, #4]
02123110 bl       #0x2123378
02123114 str      r0, [sp, #0x1c]
02123118 add      r8, r8, #1
0212311C cmp      r8, r7
02123120 blt      #0x2123040
02123124 ldr      r1, [r4]
02123128 add      r2, sp, #0x20
0212312C add      r0, r1, #0x1cc
02123130 add      r1, r1, #0x24
02123134 bl       #0x2002918
02123138 ldr      r0, [sp, #0x20]
0212313C cmp      r0, #0
02123140 ldreq    r0, [sp, #0x24]
02123144 cmpeq    r0, #0
02123148 ldreq    r0, [sp, #0x28]
0212314C cmpeq    r0, #0
02123150 beq      #0x2123270
02123154 add      r0, sp, #0x20
02123158 bl       #0x2002a0c
0212315C asr      r2, r0, #0xc
02123160 asr      r1, r2, #1
02123164 add      r2, r2, r1, lsr #30
02123168 add      r0, sp, #0x20
0212316C asr      r2, r2, #2
02123170 mov      r1, r0
02123174 str      r2, [sp, #0x18]
02123178 bl       #0x2002a6c
0212317C ldr      r3, [sp, #0x20]
02123180 ldr      r1, [sp, #0x24]
02123184 mov      r5, #0
02123188 asr      r0, r3, #0x1f
0212318C lsl      r6, r0, #0xe
02123190 asr      r0, r1, #0x1f
02123194 lsl      r2, r0, #0xe
02123198 mov      r0, #0x800
0212319C adds     r7, r0, r3, lsl #14
021231A0 orr      r6, r6, r3, lsr #18
021231A4 adc      r3, r6, #0
021231A8 lsr      r6, r7, #0xc
021231AC orr      r6, r6, r3, lsl #20
021231B0 adds     r3, r0, r1, lsl #14
021231B4 orr      r2, r2, r1, lsr #18
021231B8 adc      r0, r2, #0
021231BC lsr      r1, r3, #0xc
021231C0 orr      r1, r1, r0, lsl #20
021231C4 ldr      r0, [sp, #0x18]
021231C8 str      r6, [sp, #0x20]
021231CC str      r1, [sp, #0x24]
021231D0 ldr      r1, [r4]
021231D4 str      r5, [sp, #0x14]
021231D8 cmp      r0, #0
021231DC ldr      r6, [r1, #0x24]
021231E0 ldr      r7, [r1, #0x28]
021231E4 mov      fp, r5
021231E8 ble      #0x2123270
021231EC ldr      r1, [sp, #0x20]
021231F0 ldr      r0, [sp, #0x24]
021231F4 add      r6, r6, r1
021231F8 add      r7, r7, r0
021231FC cmp      r5, r6, asr #12
02123200 ldreq    r0, [sp, #0x14]
02123204 asr      sb, r7, #0xc
02123208 asr      r8, r6, #0xc
0212320C cmpeq    sb, r0
02123210 beq      #0x2123260
02123214 mov      r0, sl
02123218 mov      r1, r8
0212321C mov      r2, sb
02123220 mov      r5, r8
02123224 str      sb, [sp, #0x14]
02123228 bl       #0x2122fc0
0212322C cmp      r0, #0
02123230 beq      #0x2123260
02123234 add      r2, r8, #9
02123238 str      r2, [sp]
0212323C add      r5, sb, #9
02123240 mov      r0, sl
02123244 mov      r1, r4
02123248 sub      r2, r8, #1
0212324C sub      r3, sb, #1
02123250 str      r5, [sp, #4]
02123254 bl       #0x2123378
02123258 str      r0, [sp, #0x1c]
0212325C b        #0x2123270
02123260 ldr      r0, [sp, #0x18]
02123264 add      fp, fp, #1
02123268 cmp      fp, r0
0212326C blt      #0x21231ec
02123270 ldr      r0, [sp, #0x10]
02123274 ldr      r1, [sl, #0x30]
02123278 cmp      r0, #0
0212327C moveq    r2, #1
02123280 movne    r2, #0
02123284 mov      r0, #0x24
02123288 mla      r5, r2, r0, r1
0212328C ldr      r0, [r5, #0x20]
02123290 cmp      r0, #5
02123294 bne      #0x2123300
02123298 ldr      r2, [r5]
0212329C ldr      r0, [r4]
021232A0 ldr      r1, [r2, #0x24]
021232A4 asr      r1, r1, #0xc
021232A8 str      r1, [sp]
021232AC ldr      r1, [r2, #0x28]
021232B0 asr      r1, r1, #0xc
021232B4 str      r1, [sp, #4]
021232B8 ldr      r1, [r2, #0x1cc]
021232BC asr      r1, r1, #0xc
021232C0 str      r1, [sp, #8]
021232C4 ldr      r1, [r2, #0x1d0]
021232C8 asr      r1, r1, #0xc
021232CC str      r1, [sp, #0xc]
021232D0 ldr      r1, [r0, #0x28]
021232D4 ldr      r2, [r0, #0x1cc]
021232D8 ldr      r3, [r0, #0x1d0]
021232DC ldr      r4, [r0, #0x24]
021232E0 asr      r1, r1, #0xc
021232E4 asr      r0, r4, #0xc
021232E8 asr      r2, r2, #0xc
021232EC asr      r3, r3, #0xc
021232F0 bl       #0x2066c90
021232F4 cmp      r0, #0
021232F8 movne    r0, #0
021232FC strne    r0, [r5, #0x20]
02123300 ldr      r0, [sp, #0x1c]
02123304 add      sp, sp, #0x2c
02123308 pop      {r4, r5, r6, r7, r8, sb, sl, fp, pc}
0212330C andeq    fp, pc, #20, #20
02123310 ldr      r0, [r1]
02123314 ldr      r2, [r0, #0x1cc]
02123318 ldr      r0, [r0, #0x24]
0212331C cmp      r0, r2
02123320 strge    r2, [r1, #0xc]
02123324 ldrge    r0, [r1]
02123328 ldrge    r0, [r0, #0x24]
0212332C bge      #0x212333c
02123330 str      r0, [r1, #0xc]
02123334 ldr      r0, [r1]
02123338 ldr      r0, [r0, #0x1cc]
0212333C str      r0, [r1, #0x10]
02123340 ldr      r0, [r1]
02123344 ldr      r2, [r0, #0x1d0]
02123348 ldr      r0, [r0, #0x28]
0212334C cmp      r0, r2
02123350 strge    r2, [r1, #0x14]
02123354 ldrge    r0, [r1]
02123358 ldrge    r0, [r0, #0x28]
0212335C strge    r0, [r1, #0x18]
02123360 bxge     lr
02123364 str      r0, [r1, #0x14]
02123368 ldr      r0, [r1]
0212336C ldr      r0, [r0, #0x1d0]
02123370 str      r0, [r1, #0x18]
02123374 bx       lr
02123378 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
0212337C sub      sp, sp, #0x88
02123380 mov      sl, r1
02123384 ldr      r5, [sl]
02123388 mov      r1, #0
0212338C ldr      r7, [r5, #0x24]
02123390 mov      sb, r2
02123394 ldr      r4, [r5, #0x28]
02123398 ldr      r6, [r5, #0x1cc]
0212339C ldr      r5, [r5, #0x1d0]
021233A0 mov      r2, r1
021233A4 str      r2, [sp, #0x1c]
021233A8 str      r0, [sp, #0x14]
021233AC str      r2, [sp, #0x18]
021233B0 asr      r2, r6, #0xc
021233B4 cmp      sb, r7, asr #12
021233B8 asr      fp, r7, #0xc
021233BC mov      r0, r1
021233C0 ldr      r7, [sp, #0xb0]
021233C4 movgt    r0, #1
021233C8 mov      r8, r3
021233CC asr      r4, r4, #0xc
021233D0 ldr      r6, [sp, #0xb4]
021233D4 str      r1, [sp, #0x24]
021233D8 cmp      r7, fp
021233DC movlt    r1, #1
021233E0 str      r2, [sp, #0x20]
021233E4 cmp      r8, r4
021233E8 movgt    r2, #1
021233EC strgt    r2, [sp, #0x1c]
021233F0 cmp      r6, r4
021233F4 movlt    r2, #1
021233F8 strlt    r2, [sp, #0x18]
021233FC asr      r5, r5, #0xc
02123400 cmp      r0, #0
02123404 beq      #0x2123494
02123408 str      sb, [sp]
0212340C stmib    sp, {r8, sb}
02123410 ldr      r2, [sp, #0x20]
02123414 mov      r0, fp
02123418 mov      r1, r4
0212341C mov      r3, r5
02123420 str      r6, [sp, #0xc]
02123424 bl       #0x2066c90
02123428 cmp      r0, #0
0212342C beq      #0x2123520
02123430 stm      sp, {r5, sb}
02123434 str      r8, [sp, #8]
02123438 mov      r2, #1
0212343C str      sb, [sp, #0xc]
02123440 str      r2, [sp, #0x24]
02123444 ldr      r3, [sp, #0x20]
02123448 add      r0, sp, #0x4c
0212344C mov      r1, fp
02123450 mov      r2, r4
02123454 str      r6, [sp, #0x10]
02123458 bl       #0x2122dc0
0212345C add      r0, sp, #0x4c
02123460 add      r3, sp, #0x7c
02123464 ldm      r0, {r0, r1, r2}
02123468 stm      r3, {r0, r1, r2}
0212346C ldr      r2, [sp, #0x7c]
02123470 ldr      r1, [sl]
02123474 ldr      r0, [sp, #0x14]
02123478 str      r2, [r1, #0x1cc]
0212347C ldr      r3, [sp, #0x80]
02123480 ldr      r2, [sl]
02123484 mov      r1, sl
02123488 str      r3, [r2, #0x1d0]
0212348C bl       #0x2123310
02123490 b        #0x2123520
02123494 cmp      r1, #0
02123498 beq      #0x2123520
0212349C stm      sp, {r7, r8}
021234A0 str      r7, [sp, #8]
021234A4 ldr      r2, [sp, #0x20]
021234A8 mov      r0, fp
021234AC mov      r1, r4
021234B0 mov      r3, r5
021234B4 str      r6, [sp, #0xc]
021234B8 bl       #0x2066c90
021234BC cmp      r0, #0
021234C0 beq      #0x2123520
021234C4 stm      sp, {r5, r7, r8}
021234C8 mov      r2, #1
021234CC str      r7, [sp, #0xc]
021234D0 str      r2, [sp, #0x24]
021234D4 ldr      r3, [sp, #0x20]
021234D8 add      r0, sp, #0x40
021234DC mov      r1, fp
021234E0 mov      r2, r4
021234E4 str      r6, [sp, #0x10]
021234E8 bl       #0x2122dc0
021234EC add      r0, sp, #0x40
021234F0 add      r3, sp, #0x70
021234F4 ldm      r0, {r0, r1, r2}
021234F8 stm      r3, {r0, r1, r2}
021234FC ldr      r2, [sp, #0x70]
02123500 ldr      r1, [sl]
02123504 ldr      r0, [sp, #0x14]
02123508 str      r2, [r1, #0x1cc]
0212350C ldr      r3, [sp, #0x74]
02123510 ldr      r2, [sl]
02123514 mov      r1, sl
02123518 str      r3, [r2, #0x1d0]
0212351C bl       #0x2123310
02123520 ldr      r0, [sp, #0x24]
02123524 cmp      r0, #0
02123528 bne      #0x212365c
0212352C ldr      r0, [sp, #0x1c]
02123530 cmp      r0, #0
02123534 beq      #0x21235c8
02123538 str      sb, [sp]
0212353C str      r8, [sp, #4]
02123540 str      r7, [sp, #8]
02123544 ldr      r2, [sp, #0x20]
02123548 mov      r0, fp
0212354C mov      r1, r4
02123550 mov      r3, r5
02123554 str      r8, [sp, #0xc]
02123558 bl       #0x2066c90
0212355C cmp      r0, #0
02123560 beq      #0x212365c
02123564 stm      sp, {r5, sb}
02123568 str      r8, [sp, #8]
0212356C str      r7, [sp, #0xc]
02123570 mov      r2, r4
02123574 mov      r4, #1
02123578 ldr      r3, [sp, #0x20]
0212357C add      r0, sp, #0x34
02123580 mov      r1, fp
02123584 str      r8, [sp, #0x10]
02123588 str      r4, [sp, #0x24]
0212358C bl       #0x2122dc0
02123590 add      r0, sp, #0x34
02123594 add      r3, sp, #0x64
02123598 ldm      r0, {r0, r1, r2}
0212359C stm      r3, {r0, r1, r2}
021235A0 ldr      r2, [sp, #0x64]
021235A4 ldr      r1, [sl]
021235A8 ldr      r0, [sp, #0x14]
021235AC str      r2, [r1, #0x1cc]
021235B0 ldr      r3, [sp, #0x68]
021235B4 ldr      r2, [sl]
021235B8 mov      r1, sl
021235BC str      r3, [r2, #0x1d0]
021235C0 bl       #0x2123310
021235C4 b        #0x212365c
021235C8 ldr      r0, [sp, #0x18]
021235CC cmp      r0, #0
021235D0 beq      #0x212365c
021235D4 str      sb, [sp]
021235D8 stmib    sp, {r6, r7}
021235DC ldr      r2, [sp, #0x20]
021235E0 mov      r0, fp
021235E4 mov      r1, r4
021235E8 mov      r3, r5
021235EC str      r6, [sp, #0xc]
